event_id,queen_id,season_id,episode_id,event_type,decided_by_queen_id,notes,farewell
E0308,Q0511,FR01,FR01E03,eliminated,-,-,"""Merci infiniment de m'avoir accueillie avec tant d'amour. Soyez généreuses, fabuleuses et moelleuses, comme moi. Love, La Briochée."""
E0309,Q0510,FR01,FR01E04,eliminated,-,-,"""1 2 3 Kam! Vous êtes toutes extra, hâte de vous apprendre à poser !!! Love you pour toujours"""
E0310,Q0509,FR01,FR01E05,eliminated,-,-,"""*🗼Paris Merci mes amours pour cette sublime aventure.❤️ Hâte de vous retrouver à Bordeaux, en France et dans le monde entier❤️ Elips💋"""
E0311,Q0508,FR01,FR01E06,eliminated,-,-,"""Mes poupoules... Je suis fière d'avoir de nouvelles sœurs comme vous. Déchirez tout, amour et cornichons❤️ ""Soa kouroukou si tu ne gagnes pas"" 4EVER BiG❤️"""
E0312,Q0507,FR01,FR01E07,eliminated,-,-,"""Paloma, tu es une diva incroyable. Soa, t'es une star, une bombe. La Grande Dame, je suis ton fan numéro 1. 💗💗"""
E0313,Q0523,FR02,FR02E01,eliminated,-,-,"""Comme le disait Céline (pas l'auteur, l'autre): ""les derniers seront les premiers"". Donnez tout (surtout toi Punani ❤️)"""
E0314,Q0522,FR02,FR02E02,eliminated,-,-,"""Croyez en vos rêves et rendez-moi fières. Je vous aimes. Vespi"""
E0315,Q0521,FR02,FR02E03,eliminated,-,-,"""On devient fort par ses échecs, et non pas par ses succès. Coco Chanel. ❤️"""
E0316,Q0517,FR02,FR02E04,eliminated,-,-,"""Si heureuse d'être la rebelle queen de cette saison HAHA. Défoncez tout bande d'haurie (Désolé pour les fautes) LA GROSSE PICHE ❤️"""
E0317,Q0520,FR02,FR02E05,eliminated,-,-,"""Quelle aventure ! J'ai trouvé de nouvelles cops. ❤️ Je vous aime ! Et n'oubliez jamais d'allez vous faire tous... Des bisous ❤️ Bitch"""
E0318,Q0518,FR02,FR02E07,eliminated,-,-,"""Si vous ne vous faites pas briller ensemble, personne ne brillera. Je vous aime. Cookie 💋⭐"""
E0319,Q0517,FR02,FR02E07,returned,-,-,-
