lip_sync_id,episode_id,song_id,queen_a_id,queen_b_id,winner_id,loser_id,result_type,was_save,notes
L0363,US05E06,S0046,Q0051,Q0054,Q0051,Q0054,NORMAL,No,Jade eliminated
L0364,US05E07,S0047,Q0052,Q0049,,,SHANTAY,Yes,double shantay - none eliminated
L0365,US05E08,S0048,Q0052,Q0053,Q0052,Q0053,NORMAL,No,Ivy eliminated
L0366,US05E09,S0049,Q0052,Q0051,Q0051,Q0052,NORMAL,No,Alyssa eliminated
L0367,US05E10,S0206,Q0051,Q0050,Q0050,Q0051,NORMAL,No,Coco eliminated
L0368,US05E11,S0051,Q0050,Q0047,Q0047,Q0050,NORMAL,No,Detox eliminated
L0369,US05E12,S0207,Q0047,Q0048,Q0047,,CROWN,No,finale 3-way (Alaska/Jinkx/Roxxxy); Jinkx crowned
L0370,US07E01,S0064,Q0084,Q0088,Q0084,Q0088,NORMAL,No,Tempest eliminated
L0371,US07E02,S0065,Q0079,Q0087,Q0079,Q0087,NORMAL,No,Sasha Belle eliminated
L0372,US07E03,S0066,Q0086,Q0078,Q0078,Q0086,NORMAL,No,Jasmine eliminated
L0373,US07E04,S0067,Q0077,Q0080,Q0077,Q0080,NORMAL,No,Trixie eliminated (1st time)
L0374,US07E05,S0215,Q0084,Q0085,Q0084,Q0085,NORMAL,No,Mrs Kasha Davis eliminated
L0375,US07E06,S0069,Q0082,Q0084,Q0082,Q0084,NORMAL,No,Kandy Ho eliminated
L0376,US07E07,S0070,Q0082,Q0083,Q0082,Q0083,NORMAL,No,Max eliminated
L0377,US07E08,S0071,Q0076,Q0082,Q0076,Q0082,NORMAL,No,team LS (Ginger+Sasha vs Jaidynn+Tempest); Jaidynn eliminated
L0378,US07E09,S0072,Q0081,Q0077,Q0077,Q0081,NORMAL,No,Miss Fame eliminated
L0379,US07E10,S0073,Q0076,Q0080,Q0076,Q0080,NORMAL,No,Trixie re-eliminated; 6th
L0380,US07E11,S0074,Q0079,Q0078,Q0078,Q0079,NORMAL,No,Katya eliminated; Kennedy recreated Sahara's stage-jump splits
L0381,US07E12,S0075,Q0078,Q0076,Q0078,Q0076,TOPS,No,"4-way LSFTW (Ginger/Kennedy/Pearl/Violet); Kennedy won, placed 4th; top3 to finale"
L0382,US07E14,S0063,Q0075,Q0076,Q0075,,CROWN,No,finale 3-way (Violet/Ginger/Pearl) to original songs; Violet crowned
